City,District,total_votes,CHP_votes,CHP_pct,AKP_votes,AKP_pct,DEM_votes,DEM_pct,MHP_votes,MHP_pct,YRP_votes,YRP_pct,ZP_votes,ZP_pct,IYIP_votes,IYIP_pct,TIP_votes,TIP_pct,BBP_votes,BBP_pct,OTH_votes,OTH_pct
Tekirdağ,Muratlı,21166.0,9551.0,45.12,5644.0,26.67,673.0,3.18,935.0,4.42,216.0,1.02,336.0,1.59,2906.0,13.73,252.0,1.19,78.0,0.37,575.0,2.72
Tekirdağ,Saray,36019.0,16361.0,45.42,8960.0,24.88,867.0,2.41,1795.0,4.98,430.0,1.19,749.0,2.08,5238.0,14.54,499.0,1.39,116.0,0.32,1004.0,2.79
Tekirdağ,Süleymanpaşa,145682.0,59917.0,41.13,38696.0,26.56,3998.0,2.74,10379.0,7.12,1297.0,0.89,3053.0,2.1,21592.0,14.82,2198.0,1.51,639.0,0.44,3913.0,2.69
Tekirdağ,Çerkezköy,127351.0,32762.0,25.73,44303.0,34.79,16360.0,12.85,10510.0,8.25,3678.0,2.89,3751.0,2.95,9350.0,7.34,2168.0,1.7,1150.0,0.9,3319.0,2.61
Tekirdağ,Çorlu,192515.0,79632.0,41.36,52244.0,27.14,11068.0,5.75,7866.0,4.09,2319.0,1.2,4626.0,2.4,21996.0,11.43,3947.0,2.05,801.0,0.42,8016.0,4.16
Tekirdağ,Şarköy,24072.0,10850.0,45.07,6455.0,26.82,668.0,2.78,1413.0,5.87,146.0,0.61,322.0,1.34,3078.0,12.79,327.0,1.36,138.0,0.57,675.0,2.8
Tokat,Almus,13371.0,5235.0,39.15,4247.0,31.76,54.0,0.4,1986.0,14.85,172.0,1.29,130.0,0.97,891.0,6.66,95.0,0.71,369.0,2.76,192.0,1.44
Tokat,Artova,5382.0,1098.0,20.4,2186.0,40.62,12.0,0.22,1318.0,24.49,117.0,2.17,50.0,0.93,392.0,7.28,0.0,0.0,158.0,2.94,51.0,0.95
Tokat,Başçiftlik,2739.0,485.0,17.71,1330.0,48.56,5.0,0.18,450.0,16.43,83.0,3.03,19.0,0.69,289.0,10.55,5.0,0.18,37.0,1.35,36.0,1.31
Tokat,Erbaa,65486.0,8143.0,12.43,27448.0,41.91,88.0,0.13,14089.0,21.51,1847.0,2.82,992.0,1.51,10928.0,16.69,186.0,0.28,782.0,1.19,983.0,1.5
Tokat,Merkez,133109.0,22188.0,16.67,50258.0,37.76,349.0,0.26,33693.0,25.31,3748.0,2.82,2186.0,1.64,16296.0,12.24,410.0,0.31,2455.0,1.84,1526.0,1.15
Tokat,Niksar,41090.0,10203.0,24.83,14421.0,35.1,139.0,0.34,9294.0,22.62,803.0,1.95,626.0,1.52,4292.0,10.45,118.0,0.29,467.0,1.14,727.0,1.77
Tokat,Pazar,9231.0,936.0,10.14,4356.0,47.19,8.0,0.09,1994.0,21.6,248.0,2.69,95.0,1.03,651.0,7.05,10.0,0.11,836.0,9.06,97.0,1.05
Tokat,Reşadiye,18529.0,3486.0,18.81,8262.0,44.59,41.0,0.22,3786.0,20.43,440.0,2.37,210.0,1.13,1331.0,7.18,43.0,0.23,699.0,3.77,231.0,1.25
Tokat,Sulusaray,4311.0,337.0,7.82,1681.0,38.99,6.0,0.14,1280.0,29.69,178.0,4.13,34.0,0.79,208.0,4.82,5.0,0.12,451.0,10.46,131.0,3.04
Tokat,Turhal,54161.0,14089.0,26.01,17482.0,32.28,348.0,0.64,10860.0,20.05,836.0,1.54,537.0,0.99,5086.0,9.39,150.0,0.28,4216.0,7.78,557.0,1.03
Tokat,Yeşilyurt,5362.0,578.0,10.78,2201.0,41.05,19.0,0.35,1468.0,27.38,175.0,3.26,53.0,0.99,467.0,8.71,1.0,0.02,313.0,5.84,87.0,1.62
Tokat,Zile,38098.0,13652.0,35.83,11277.0,29.6,134.0,0.35,7454.0,19.57,563.0,1.48,511.0,1.34,3309.0,8.69,198.0,0.52,468.0,1.23,532.0,1.4
Trabzon,Akçaabat,84758.0,14320.0,16.9,42651.0,50.32,112.0,0.13,9051.0,10.68,3917.0,4.62,1479.0,1.74,10264.0,12.11,174.0,0.21,663.0,0.78,2127.0,2.51
